epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.8736,1.07576,2.50952,1.06463,0.43447,0.93284,0.80229,0.59925,0.69521,3.20912,0.89013,0.000465256,0.000465256,0.000465256
2,158.751,1.02589,1.00796,1.02852,0.97063,0.72099,0.97863,0.78491,0.70575,1.63043,0.8831,0.000825067,0.000825067,0.000825067
3,239.553,0.99389,0.89429,1.00714,0.94943,0.91422,0.97699,0.75644,0.72313,0.93775,0.8883,0.00106699,0.00106699,0.00106699
4,341.073,0.95723,0.83732,0.99853,0.97792,0.99758,0.99426,0.81036,0.64099,0.7228,0.8617,0.000898484,0.000898484,0.000898484
5,427.334,0.91916,0.75607,0.99077,0.97402,0.98507,0.98905,0.80834,0.66183,0.73421,0.86385,0.000721645,0.000721645,0.000721645
6,529.799,0.86947,0.69657,0.96168,0.95662,0.96864,0.97925,0.81435,0.62096,0.76068,0.85314,0.000544806,0.000544806,0.000544806
7,635.459,0.86096,0.66551,0.96292,0.98411,1,0.99442,0.84094,0.5719,0.50939,0.85003,0.000367967,0.000367967,0.000367967
8,743.141,0.80133,0.60478,0.93464,0.99697,1,0.995,0.8521,0.55546,0.49267,0.84626,0.000191129,0.000191129,0.000191129
